dataset_a,dataset_b,model,dsi_10,auc_learning,convergence_rate,stability,auc_500,mean_pad_max
dior-bg_blurry,dota-bg_blurry,LogReg,30.527594076463394,63.558672202472756,42.57591643069033,96.23505010106544,86.06704717686532,113.42624431570425
dior-bg_blurry,dota-bg_blurry,MLP,21.078969220310583,63.21488035055235,27.34229187679911,95.67879052767697,87.16907009878246,116.82317946801221
dior-bg_blurry,dota-bg_blurry,Discriminator,23.126891674074667,63.197223722642256,27.180303153431968,95.08326027281848,87.14491975252008,116.89279262443155
artaxor,dior-bg_blurry,LogReg,97.80612922980771,99.38903829200301,95.22210546830941,95.52774365876613,99.99825954467107,199.5406779661017
artaxor,dior-bg_blurry,MLP,85.11622251382207,98.64241440784276,69.50109746698938,92.78135224032833,99.99265525351908,198.9279661016949
artaxor,dior-bg_blurry,Discriminator,77.4270417712443,98.34334237416343,58.677174444432026,93.01293108363613,99.98646450373457,198.39491525423725
artaxor,dota-bg_blurry,LogReg,97.54845065778801,99.36845307712332,95.42955792721591,95.44568987570942,99.99916696351622,199.56118644067794
artaxor,dota-bg_blurry,MLP,89.45917347979832,98.81116894916855,80.89510259921413,94.4003571055081,99.99588331298477,198.9728813559322
artaxor,dota-bg_blurry,Discriminator,75.74199177591179,98.42779375061251,56.71753903420449,91.84685046905892,99.9917740591784,198.43813559322032
cadot,dior-bg_blurry,LogReg,93.06427214624809,98.80627296253729,89.62439937441677,95.30388168556675,99.89848364281055,194.59692757863937
cadot,dior-bg_blurry,MLP,79.03567199554824,98.10982259315362,71.39487515326591,94.52377264008868,99.8376652696088,193.13825896122896
cadot,dior-bg_blurry,Discriminator,64.99084391105173,97.50563419336858,52.28490529302772,91.4500807424233,99.817665954581,193.03950256035117
cadot,dota-bg_blurry,LogReg,91.516925343577,98.7255900642177,87.75152800883546,94.94870475653742,99.88381921764402,194.21872713972198
cadot,dota-bg_blurry,MLP,73.36514169088535,97.73442297779707,67.5069553034206,91.7895135630002,99.83605418023008,193.2114118507681
cadot,dota-bg_blurry,Discriminator,65.48405809176212,97.33356184390996,57.13615468314922,91.08896472835598,99.81618496978363,192.58229700073156
coco,dior-bg_blurry,LogReg,96.23958430005679,99.18049704095824,90.720983181303,95.25979788241955,99.99859778673832,199.5048900517037
coco,dior-bg_blurry,MLP,76.852057597922,98.34943795956151,53.52656071477504,93.64732524904173,99.99637444907148,199.10515168504332
coco,dior-bg_blurry,Discriminator,65.32404874235607,97.8544447939493,41.95846603613958,90.38567580936785,99.99404200838292,198.85909175854977
coco,dota-bg_blurry,LogReg,97.74739474155456,99.25054575384083,91.56458569178214,95.33476177330618,99.9983231189657,199.530702430502
coco,dota-bg_blurry,MLP,76.22933749658425,98.47107121096342,54.344096704182434,93.24388516135961,99.99692277866644,199.20995837829506
coco,dota-bg_blurry,Discriminator,69.12622416839717,98.07173522928264,41.80994021135043,92.39615456350843,99.99545575382288,198.9739307675179
deepfruits,dior-bg_blurry,LogReg,98.07029557627452,98.86164830453853,95.52954471870993,94.42020905551674,99.99750472589793,198.9739130434783
deepfruits,dior-bg_blurry,MLP,84.71505653640152,97.60008199540383,70.85025490365503,91.25706543409888,99.92325141776938,198.43478260869568
