source,dataset_a,dataset_b,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,auc_500_mean,auc_500_std,mean_pad_max_mean,mean_pad_max_std,wasserstein,mk_mmd,interpretation
oktoberfest,oktoberfest,dior-bg_blurry,96.74618720538722,3.2345845777009092,99.29710384557545,0.19062688306467818,86.65149231769055,10.578544784763274,94.6366648454923,1.3452120742215097,99.99971782876662,0.00031608816594055845,199.53847854743378,0.2643527728465601,0.52143544169386,0.0739877487577737,Très fort
oktoberfest,oktoberfest,dota-bg_blurry,96.41916620752984,2.627583158920314,99.33168166786554,0.17625805123123744,87.68110826386703,8.85516406680063,93.76294041074458,1.7323793552369926,99.99974753100169,0.000328407876843117,199.53126882593833,0.31491926418404276,0.5475529874288393,0.0763277727864137,Très fort
fashionpedia,fashionpedia,dior-bg_blurry,90.03332880282626,9.48757786111353,98.89608672685478,0.44094883979648714,76.3803583059215,21.43011959327002,94.30967867055087,1.8710411535724258,99.9989499037734,0.000406134099548791,199.72668851973262,0.0786200200491742,0.4705012337759289,0.0640767966833927,Très fort
uodd,uodd,dior-bg_blurry,88.70154356016913,9.613179392374898,98.99817539412868,0.469556409197235,79.98794695523613,14.73106248517485,93.75952774467824,1.355333970958032,99.99452956609169,0.0051377281539790945,198.83754045307444,0.8095750473630983,0.72817442486298,0.112881017406471,Très fort
artaxor,artaxor,dota-bg_blurry,87.58320530449937,11.023604432661328,98.86913859230145,0.47300142894251507,77.68073318687817,19.55515864759064,93.89763248342547,1.851340137022696,99.99560811189313,0.003704127477243624,198.99073446327682,0.5617382411543773,0.545615869603297,0.0851241456649005,Très fort
deepfruits,deepfruits,dota-bg_blurry,86.92769688553858,10.388210106095066,97.59626025454435,1.017781549867911,76.96616384717959,17.93772468990956,91.67014653064525,2.163158150097898,99.97721487082545,0.015765247911247487,197.00289855072467,1.0757802227158928,0.7115295582473893,0.0873113019874333,Très fort
artaxor,artaxor,dior-bg_blurry,86.78313117162469,10.29129436786438,98.79159835800306,0.5385739284310598,74.46679245991027,18.771696539125827,93.77400899424354,1.5231861820959653,99.99245976730823,0.005899949899569339,198.9545197740113,0.5733427169763813,0.6007070997983149,0.0848169967612067,Très fort
deepfruits,deepfruits,dior-bg_blurry,86.38887522317002,10.940962973480703,97.84414695606245,0.920076231942802,74.50985378975506,19.449844041692522,92.21668810350634,1.9135912822559593,99.95392564587273,0.038772281907981675,198.3536231884058,0.6645966602812341,0.747008065463656,0.0884200647810771,Très fort
fashionpedia,fashionpedia,dota-bg_blurry,85.33349117851981,11.341072565252155,98.81103738307297,0.4769535096190414,71.42566561203387,21.096013076048603,93.38095278151415,1.6508233431012156,99.99958131806441,8.419012451571838e-05,199.82647184102825,0.040654097590228616,0.5324698855415232,0.0665095738368108,Très fort
uodd,uodd,dota-bg_blurry,83.81698521081636,12.622637227908028,98.81272184610606,0.5358082382519568,78.15053143166351,17.997518680725815,93.40286522874784,1.6743257274412044,99.99583553272379,0.004111016503052206,198.91294498381876,0.6925606417934355,0.6339474851137402,0.1087118613456065,Très fort
