pair,source,dataset_a,dataset_b,wasserstein,mk_mmd,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,saturation_shot_mean,auc_500_mean,mean_pad_max_mean,interpretation
oktoberfest vs dior-bg_blurry,oktoberfest,oktoberfest,dior-bg_blurry,0.52143544169386,0.0739877487577737,86.46060606060605,10.6701733216671,74.94621625764132,4.758696397998644,86.65149231769055,10.578544784763274,94.6366648454923,1.3452120742215097,20.0,0.9999971782876661,1.9953847854743376,Très fort
uodd vs dior-bg_blurry,uodd,uodd,dior-bg_blurry,0.72817442486298,0.112881017406471,79.56261437908496,14.975233945798148,75.59824016378319,5.96246003836195,79.98794695523613,14.73106248517485,93.75952774467824,1.355333970958032,28.333333333333332,0.9999452956609168,1.9883754045307445,Très fort
fashionpedia vs dior-bg_blurry,fashionpedia,fashionpedia,dior-bg_blurry,0.4705012337759289,0.0640767966833927,76.28112438792662,21.429796762624658,71.35334719556404,7.39477153613014,76.3803583059215,21.43011959327002,94.30967867055087,1.8710411535724258,28.333333333333332,0.999989499037734,1.9972668851973259,Très fort
artaxor vs dior-bg_blurry,artaxor,artaxor,dior-bg_blurry,0.6007070997983149,0.0848169967612067,74.11274749118525,18.898126808562917,72.38560914193364,6.558479103230972,74.46679245991027,18.771696539125827,93.77400899424354,1.5231861820959653,45.0,0.9999245976730823,1.9895451977401128,Très fort
deepfruits vs dior-bg_blurry,deepfruits,deepfruits,dior-bg_blurry,0.747008065463656,0.0884200647810771,73.93802816901407,19.53660078123369,71.6206464386264,6.417016844423889,74.50985378975506,19.449844041692522,92.21668810350634,1.9135912822559593,28.333333333333332,0.9995392564587272,1.9835362318840584,Très fort
cadot vs dior-bg_blurry,cadot,cadot,dior-bg_blurry,0.5764724793840583,0.0977167701396497,68.87127791563277,18.3690638021693,70.60759807490909,6.01490376822317,71.10139327357014,18.671476997650835,93.75924502269292,2.0374793951507795,75.0,0.9985127162233344,1.9359156303340648,Fort
coco vs dior-bg_blurry,coco,coco,dior-bg_blurry,0.4075232739281395,0.0471551203026803,61.834193687984936,25.487171597635626,65.54344112083605,9.448136133353126,62.068669977405875,25.478844019580865,93.09759964694304,2.483126089016526,58.333333333333336,0.9999633808139757,1.991563778317656,Fort
xview vs dior-bg_blurry,xview,xview,dior-bg_blurry,0.3785220361714131,0.0511985513850475,52.54359318352419,15.714271778360699,59.26920822070426,6.404169527949523,54.58874141926487,16.043633358169256,94.27189594987873,1.19899808954068,250.0,0.9980965513594743,1.923263824149944,Fort
dior vs dior-bg_blurry,dior,dior,dior-bg_blurry,0.3265597422233394,0.0413877483278112,50.20904459072484,13.289139458244758,54.16800267524467,5.436103685416472,57.39833584118593,15.272275609564936,93.57593633881447,2.1463894315869316,250.0,0.9810555389790561,1.7498823714544234,Fort
dota vs dior-bg_blurry,dota,dota,dior-bg_blurry,0.3286568809809013,0.0434184930010179,44.049466501470135,14.295938630786868,51.827023171918135,4.90272341483236,51.17819641107679,16.578692060530905,94.23820699842265,1.5457154081912314,250.0,0.9785589048699038,1.7212078800206523,Modéré
dior_bg vs dior-bg_blurry,dior_bg,dior_bg,dior-bg_blurry,0.3051141622402032,0.0565539969983474,36.00875810124366,9.719958346625718,38.65945578725481,3.1716184110251233,58.41502032322086,16.260159503813536,93.90111141501895,0.938553022633717,250.0,0.8851044241224225,1.2347322411179633,Modéré
dior-bg_blurry vs dota-bg_blurry,dota-bg_blurry,dior-bg_blurry,dota-bg_blurry,0.2337687265177572,0.0263119702770685,18.667702183343113,4.744650022410731,27.008505524344184,2.1514481380782478,32.3661704869738,8.84227031158014,95.6657003005203,0.576006482297336,500.0,0.8679367900938928,1.1571407213604934,Faible
