dataset_a,dataset_b,model,dsi_10,auc_learning,slope_10,convergence_rate,stability,saturation_shot,auc_500,mean_pad_max
dior-bg_blurry,dota-bg_blurry,LogReg,24.146131495162425,29.25551741961354,0.11029031503016917,42.57591643069033,96.23505010106544,500,0.8606704717686532,1.1342624431570425
dior-bg_blurry,dota-bg_blurry,MLP,15.971067354950375,26.80256823775285,0.06067853530359535,27.34229187679911,95.67879052767697,500,0.8716907009878245,1.1682317946801222
dior-bg_blurry,dota-bg_blurry,Discriminator,15.885907699916535,24.967430915666164,0.06537860434619303,27.180303153431968,95.08326027281848,500,0.8714491975252008,1.1689279262443155
artaxor,dota-bg_blurry,LogReg,95.22017900732305,79.93461699904532,0.3295930488702603,95.42955792721591,95.44568987570942,10,0.9999916696351622,1.9956118644067795
artaxor,dota-bg_blurry,MLP,80.47965825874697,72.65599957004524,0.27918502192224126,80.89510259921413,94.4003571055081,25,0.9999588331298478,1.989728813559322
artaxor,dota-bg_blurry,Discriminator,56.27461350691618,66.79720845681975,0.15736095272849904,56.71753903420449,91.84685046905892,50,0.999917740591784,1.9843813559322032
cadot,dota-bg_blurry,LogReg,85.21495037220848,76.06208844737338,0.2527156426745283,87.75152800883546,94.94870475653742,50,0.9988381921764402,1.94218727139722
cadot,dota-bg_blurry,MLP,65.21557071960298,67.89733193758403,0.16337293556522803,67.5069553034206,91.7895135630002,100,0.9983605418023008,1.9321141185076809
cadot,dota-bg_blurry,Discriminator,55.0170595533499,63.196128087139655,0.12503890123102412,57.13615468314922,91.08896472835598,250,0.9981618496978364,1.9258229700073155
coco,dota-bg_blurry,LogReg,91.34973050419592,76.80096961488157,0.3614752546614307,91.56458569178214,95.33476177330618,25,0.999983231189657,1.99530702430502
coco,dota-bg_blurry,MLP,54.12942621273111,66.37428567060172,0.1634510367473635,54.344096704182434,93.24388516135961,50,0.9999692277866644,1.9920995837829505
coco,dota-bg_blurry,Discriminator,41.59544074503651,61.076323472411396,0.10025153963103672,41.80994021135043,92.39615456350843,250,0.9999545575382288,1.9897393076751793
deepfruits,dota-bg_blurry,LogReg,94.49014084507039,77.7251277737648,0.3139204844451322,95.37756690233554,93.82631611364836,10,0.9999516068052928,1.9813913043478264
deepfruits,dota-bg_blurry,MLP,74.7887323943662,67.92983337765003,0.21886124438941346,75.97795252077837,91.68405657857024,25,0.9997088846880906,1.9686956521739136
deepfruits,dota-bg_blurry,Discriminator,58.35211267605636,63.15157930164796,0.15652704689676533,59.54297211842483,89.5000668997172,50,0.99965595463138,1.96
dior,dota-bg_blurry,LogReg,73.88251701439248,66.57528864999223,0.29607776563371013,78.94613895168541,95.30371952476102,250,0.9952068296056776,1.8717195798418509
dior,dota-bg_blurry,MLP,59.32611848711369,60.0214372742299,0.2254619566798841,63.83154203408456,93.9790914988084,250,0.9941469058364648,1.8588339431134189
dior,dota-bg_blurry,Discriminator,46.04652460113798,55.71335258047895,0.14631320704492312,49.67275912959431,92.08440133281336,250,0.9938076783886902,1.8539950430780128
dior_bg,dota-bg_blurry,LogReg,46.95008585391625,46.49754804866906,0.18869072166646972,63.354574639114226,95.29177740538599,250,0.9382659959695644,1.482137197553842
dior_bg,dota-bg_blurry,MLP,38.713908334434024,41.73363657379891,0.17129805102913476,52.40025236742988,94.0000224847271,500,0.942299168017898,1.4776229726136665
dior_bg,dota-bg_blurry,Discriminator,24.316074494782747,38.769399027739915,0.08213881883480068,32.738341429624676,92.37808889102716,500,0.9432061358206127,1.4854799255517148
dota,dota-bg_blurry,LogReg,65.36418440372063,59.00856286954224,0.2532852565968675,80.52445708450088,95.08750043736313,100,0.9573886297775742,1.6234616604773549
dota,dota-bg_blurry,MLP,51.30462118830559,52.99704123364302,0.19959062803597016,62.60948471331906,94.07119177201241,250,0.959826125077374,1.6388769664284246
dota,dota-bg_blurry,Discriminator,36.178689646245175,49.593539552013674,0.13727541398946275,44.16034153858669,93.19275472216573,250,0.9598109359292376,1.6385149383245938
